Year model,Car Spec,Kilometres,Seller type,Price,Transmission,Body type,Drive type,Engine,Fuel type,Fuel consumption,Colour ext / int,Registration,Rego expiry,VIN,Stock No,ANCAP Safety rating,Green overall rating,Dealer,Address,Seating capacity,Doors,Front tyre size,Front rim size,Rear tyre size,Rear rim size,Injection / Carburation,CC,Number of cylinders,Front suspension,Rear suspension,Front brakes,Rear brakes,Fuel tank capacity,Valve gear type,Maximum torque,Maximum power (kW),CO2 level (g/km),Green house rating,Overall HxWxL,Ground clearance unladen,Wheelbase,Kerb weight,Turning circle,Rear track,Front track,Gross trailer weight braked,Make,Model,Variant,Series,Warranty when new (months),Warranty when new (kms),Service interval (months),Service interval (kms),Country of origin,Vehicle segment
2012,2012 Toyota Landcruiser Prado GX (4X4) KDJ150R 11 Upgrade,"272,303km",Dealer: Used,"$27,990",Sequential Auto,"SUV, 4 Doors, 5 Seats",Four Wheel Drive,"4 cyl, 3 L",Diesel,8.50 L / 100 km,White / -,1HWY045,-,JTEBH3FJ00K063571,U119093,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Scarboro Toyota,"297 Scarborough Beach Road, Osborne Park, WA",5,4,245/70 R17,6.5x17,245/70 R17,6.5x17,,2982,4,Anti Roll Bar;Coil Spring;Double Wishbone;Gas Damper,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System,Disc - Ventilated,Disc - Ventilated,150.00,16,410 @ 1600 RPM,127 @ 3400 RPM,225.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1845mm x 1885mm x 4930mm,220 mm,2790 mm,2210 kg,11.60 m,1605 mm,1605 mm,-,Toyota,Landcruiser Prado,GX (4X4),KDJ150R 11 Upgrade,36,"100,000",6,"10,000",,
2012,2012 Mitsubishi Outlander Activ (fwd) ZH MY12,"184,369km",Dealer: Used,"$12,990",CVT Auto Sequential,"SUV, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 2.4 L",Unleaded Petrol,9.30 L / 100 km,Brown / Black,1HAH706,-,JMFXTCW5WCU004670,0849,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,4,225/55 R18,7x18,225/55 R18,7x18,,2359,4,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Disc - Ventilated,Disc,63.00,16,226 @ 4100 RPM,125 @ 6000 RPM,222.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1740mm x 1800mm x 4640mm,210 mm,2670 mm,1507 kg,10.60 m,1540 mm,1540 mm,-,Mitsubishi,Outlander,Activ (fwd),ZH MY12,60,"130,000",12,"15,000",,
2015,2015 Subaru WRX (AWD) MY16,"107,500km",Dealer: Used,"$29,888",Manual,"Sedan, 4 Doors, 5 Seats",All Wheel Drive,"4 cyl, 2 L",Premium Unleaded Petrol,9.20 L / 100 km,Silver / -,1HNW639,-,JF1VAGK63GG012946,40144,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Youngs WA,"529 Albany Highway, Victoria Park, WA",5,4,245/40 R18,8.5x18,245/40 R18,8.5x18,,1998,4,Anti Roll Bar;Coil Spring;Gas Damper;MacPherson Strut,Anti Roll Bar;Coil Spring;Double Wishbone;Gas Damper,Disc - Ventilated,Disc,60.00,16,350 @ 2400 RPM,197 @ 5600 RPM,213.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1475mm x 1795mm x 4595mm,135 mm,2650 mm,1487 kg,10.80 m,1540 mm,1530 mm,-,Subaru,WRX,(AWD),MY16,36,"999,000",6,"12,000",,
2012,2012 BMW X3 Xdrive 30D F25,"134,793km",Dealer: Used,"$20,900",Automatic,"SUV, 4 Doors, 5 Seats",Four Wheel Drive,"6 cyl, 3 L",Diesel,6.00 L / 100 km,- / -,1EAM142,-,WBAWY520200B52309,54180,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Auto Classic,"48 Burswood Road, Burswood, WA",5,4,245/50 R18,8.0x18,245/50 R18,8.0x18,,2993,6,Anti Roll Bar;Coil Spring;Gas Damper;MacPherson Strut,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System,Disc - Ventilated,Disc - Ventilated,67.00,24,560 @ 2000 RPM,190 @ 4000 RPM,159.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1675mm x 1881mm x 4684mm,212 mm,2810 mm,1800 kg,11.90 m,1632 mm,1616 mm,-,BMW,X3,Xdrive 30D,F25,36,"999,000",12,"25,000",,
2018,2018 Toyota Hilux SR (4X4) GUN126R MY19,"84,146km",Dealer: Used,"$43,990",Automatic,"Ute Tray, 4 Doors, 5 Seats",4x4,"4 cyl, 2.8 L",Diesel,8.50 L / 100 km,White / Black Fabric,1GRN908,19 Jun 2023,MR0KA3CD201307364,304751,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",5,4,265/65 R17,7.5x17,265/65 R17,7.5x17,,2753,4,Anti Roll Bar;Coil Spring;Double Wishbone;Hydraulic Double Acting,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,80.00,16,450 @ 1600 RPM,130 @ 3400 RPM,223.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1815mm x 1855mm x 5330mm,279 mm,3085 mm,2075 kg,11.80 m,1550 mm,1535 mm,-,Toyota,Hilux,SR (4X4),GUN126R MY19,36,"100,000",6,"10,000",,
2015,2015 Hyundai Santa FE Elite Crdi (4X4) DM Series II (DM3),"106,543km",Dealer: Used,"$25,888",Automatic,"SUV, 4 Doors, 7 Seats",All Wheel Drive,"4 cyl, 2.2 L",Diesel,7.80 L / 100 km,Grey / Black,1EWJ186,15 Mar 2024,KMHSU81XSFU479377,18740,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Volkswagen Osborne Park used,"435 Scarborough Beach Road, Osborne Park, WA",7,4,235/60 R18,7.5x18,235/60 R18,7.5x18,,2199,4,Anti Roll Bar;Coil Spring;Gas Damper;MacPherson Strut,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Disc - Ventilated,Disc,64.00,16,440 @ 1750 RPM,147 @ 3800 RPM,205.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1580mm x 1880mm x 4690mm,185 mm,2700 mm,1830 kg,10.90 m,1639 mm,1628 mm,-,Hyundai,Santa FE,Elite Crdi (4X4),DM Series II (DM3),60,"999,000",12,"15,000",,
2022,2022 Suzuki Vitara Turbo Series II,"10,897km",Dealer: Used,"$35,998",Automatic,"SUV, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 1.4 L",Premium Unleaded Petrol,5.90 L / 100 km,Green / -,UNREG,-,TSMLYDA1S00B10532,C5757,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Gardner Commercials,"1308 Albany Highway, Cannington, WA",5,4,215/55 R17,6x17,215/55 R17,6x17,,1373,4,Coil Spring;MacPherson Strut,Coil Spring;Torsion Beam,Disc - Ventilated,Disc,47.00,16,220 @ 1500 RPM,103 @ 5500 RPM,138.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1610mm x 1775mm x 4175mm,185 mm,2500 mm,1160 kg,10.40 m,1505 mm,1535 mm,-,Suzuki,Vitara,Turbo,Series II,60,"999,000",12,"10,000",,
2015,2015 Hyundai Santa FE Elite Crdi (4X4) DM Series II (DM3),"106,543km",Dealer: Used,"$25,888",Automatic,"SUV, 4 Doors, 7 Seats",All Wheel Drive,"4 cyl, 2.2 L",Diesel,7.80 L / 100 km,Grey / Black,1EWJ186,15 Mar 2024,KMHSU81XSFU479377,18740,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Volkswagen Osborne Park used,"435 Scarborough Beach Road, Osborne Park, WA",7,4,235/60 R18,7.5x18,235/60 R18,7.5x18,,2199,4,Anti Roll Bar;Coil Spring;Gas Damper;MacPherson Strut,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Disc - Ventilated,Disc,64.00,16,440 @ 1750 RPM,147 @ 3800 RPM,205.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1580mm x 1880mm x 4690mm,185 mm,2700 mm,1830 kg,10.90 m,1639 mm,1628 mm,-,Hyundai,Santa FE,Elite Crdi (4X4),DM Series II (DM3),60,"999,000",12,"15,000",,
2022,2022 Suzuki Vitara Turbo Series II,"10,897km",Dealer: Used,"$35,998",Automatic,"SUV, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 1.4 L",Premium Unleaded Petrol,5.90 L / 100 km,Green / -,UNREG,-,TSMLYDA1S00B10532,C5757,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Gardner Commercials,"1308 Albany Highway, Cannington, WA",5,4,215/55 R17,6x17,215/55 R17,6x17,,1373,4,Coil Spring;MacPherson Strut,Coil Spring;Torsion Beam,Disc - Ventilated,Disc,47.00,16,220 @ 1500 RPM,103 @ 5500 RPM,138.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1610mm x 1775mm x 4175mm,185 mm,2500 mm,1160 kg,10.40 m,1505 mm,1535 mm,-,Suzuki,Vitara,Turbo,Series II,60,"999,000",12,"10,000",,
2022,2022 Suzuki Vitara Turbo Series II,"13,376km",Dealer: Used,"$36,998",Automatic,"SUV, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 1.4 L",Premium Unleaded Petrol,5.90 L / 100 km,White / -,UNREG,-,TSMLYDA1S00B02510,C5761,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Gardner Commercials,"1308 Albany Highway, Cannington, WA",5,4,215/55 R17,6x17,215/55 R17,6x17,,1373,4,Coil Spring;MacPherson Strut,Coil Spring;Torsion Beam,Disc - Ventilated,Disc,47.00,16,220 @ 1500 RPM,103 @ 5500 RPM,138.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1610mm x 1775mm x 4175mm,185 mm,2500 mm,1160 kg,10.40 m,1505 mm,1535 mm,-,Suzuki,Vitara,Turbo,Series II,60,"999,000",12,"10,000",,
2016,2016 Ford Everest Titanium UA,"196,554km",Dealer: Used,"$37,990",Automatic,"SUV, 4 Doors, 7 Seats",All Wheel Drive,"5 cyl, 3.2 L",Diesel,8.50 L / 100 km,Silver / Black,1HGJ381,14 Jun 2023,MNAAXXMAWAGS14215,HP2874,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Wangara MG Used,"20 Motor Parade, Wangara, WA",7,4,265/50 R20,8.5x20,265/50 R20,8.5x20,,3198,5,Anti Roll Bar;Coil Spring;Double Wishbone;Gas Damper,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System;Watt Linka,Disc - Ventilated,Disc,80.00,20,470 @ 1750 RPM,143 @ 3000 RPM,182.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1837mm x 1860mm x 4892mm,225 mm,2850 mm,2346 kg,11.70 m,1564 mm,1560 mm,-,Ford,Everest,Titanium,UA,36,"100,000",12,"15,000",,
2008,2008 Ford Ranger XL (4X2) PJ 07 Upgrade,"183,824km",Dealer: Used,"$9,990",Manual,"Ute Tray, 2 Doors, 2 Seats",Rear Wheel Drive,"4 cyl, 2.5 L",Diesel,8.20 L / 100 km,White / Grey,1CXP789,-,MNALSAE108W743116,0704,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,DNA CAR SALES,"16 Baretta Road, Wangara, WA",2,2,215/70 R15,6.5x15,215/70 R15,6.5x15,,2499,4,Double Wishbone;Hydraulic Double Acting Shock Absorber;Torsion Ba,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,70.00,16,330 @ 1800 RPM,105 @ 3500 RPM,219.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1622mm x 1715mm x 4841mm,181 mm,2985 mm,1468 kg,12.00 m,1450 mm,1445 mm,-,Ford,Ranger,XL (4X2),PJ 07 Upgrade,36,"100,000",6,"10,000",,
2017,2017 Ford Ranger XL,"141,486km",Dealer: Used,"$33,998",Manual,-,-,-,,-,White / -,1HVH856,-,MPBUMFF50HX105785,C5880,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Gardner Commercials,"1308 Albany Highway, Cannington, WA",,,,,,,,,,,,,,,,-,-,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,-,-,-,-,-,-,-,-,Ford,Ranger,XL,,,,,,,
2019,2019 Holden Colorado Storm (4X4) Special Edition RG MY20,"80,560km",Dealer: Used,"$49,742",Automatic,"Ute Tray, 4 Doors, 5 Seats",4x4,"4 cyl, 2.8 L",Diesel,8.70 L / 100 km,White / Black,1GYB578,30 Aug 2023,MMU148MK0LH618861,A31590,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,easyauto123 (Cannington),"1261 Albany Highway, Cannington, WA",5,4,255/65 R17,7x17,255/65 R17,7x17,,2776,4,Coil Spring;Double Wishbone;Hydraulic Double Acting Shock Absorbe,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,76.00,16,470 @ 2000 RPM,147 @ 3600 RPM,230.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1780mm x 1882mm x 5347mm,210 mm,3096 mm,2121 kg,12.70 m,1570 mm,1570 mm,-,Holden,Colorado,Storm (4X4) Special Edition,RG MY20,60,"999,000",12,"12,000",,
2017,2017 Mitsubishi Triton GLX (4X4) MQ MY18,"122,298km",Dealer: Used,"$26,490",Automatic,"Ute Tray, 4 Doors, 5 Seats",4x4,"4 cyl, 2.4 L",Diesel,7.60 L / 100 km,White / Grey  Cloth,1GOA319,20 Feb 2023,MMAZYKL10JH002395,304025,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",5,4,245/70 R16,7x16,245/70 R16,7x16,,2440,4,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,75.00,16,430 @ 2500 RPM,133 @ 3500 RPM,201.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1780mm x 1815mm x 5200mm,205 mm,3000 mm,1930 kg,11.80 m,1515 mm,1520 mm,-,Mitsubishi,Triton,GLX (4X4),MQ MY18,60,"100,000",12,"15,000",,
2016,2016 Holden Cruze Z-Series JH MY16,"55,165km",Dealer: Used,"$16,989",Automatic,"Hatch, 5 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 1.8 L",Unleaded Petrol,7.40 L / 100 km,White / Black,1EZY189,27 Jul 2023,6G1PE6EM5GL219653,0023674,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Melville Toyota,"Cnr North Lake Road & Leach Hwy, Melville, WA",5,5,215/50 R17,7x17,215/50 R17,7x17,,1796,4,Anti Roll Bar;Coil Spring;Gas Damper;MacPherson Strut,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System,Disc - Ventilated,Disc,60.00,16,176 @ 3800 RPM,104 @ 6200 RPM,176.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1477mm x 1788mm x 4518mm,143 mm,2685 mm,1402 kg,10.90 m,1558 mm,1544 mm,-,Holden,Cruze,Z-Series,JH MY16,36,"100,000",9,"15,000",,
2019,2019 Hyundai Kona GO (fwd) OS.2 MY19,"52,021km",Dealer: Used,"$24,999",Automatic,"SUV, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 2 L",Unleaded Petrol,7.20 L / 100 km,Orange / -,1HWX159,22 Aug 2023,KMHK281AMLU437722,412066,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,John Hughes Passenger,"196 Albany Highway, Victoria Park, WA",5,4,205/60 R16,6.5Jx16,205/60 R16,6.5Jx16,,1999,4,MacPherson Strut,Torsion Bar,Disc - Ventilated,Disc - Solid,50.00,16,180 @ 4500 RPM,110 @ 6200 RPM,169.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1550mm x 1800mm x 4165mm,170 mm,2600 mm,1383 kg,10.60 m,1584 mm,1575 mm,-,Hyundai,Kona,GO (fwd),OS.2 MY19,60,"999,000",12,"15,000",,
2014,2014 Nissan Pulsar ST B17,"78,875km",Dealer: Used,"$14,250",Continuous Variable,"Sedan, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 1.8 L",Unleaded Petrol,6.70 L / 100 km,Gold / -,1HWP531,19 Jul 2023,MNTBAAB17A0016183,40381,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Osborne Park Nissan used,"300 Scarborough Beach Road, Osborne Park, WA",5,4,195/60 R16,6.5x16,195/60 R16,6.5x16,,1798,4,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Disc - Ventilated,Disc,52.00,16,174 @ 4800 RPM,96 @ 6000 RPM,160.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1520mm x 1760mm x 4610mm,160 mm,2700 mm,1230 kg,10.70 m,1540 mm,1540 mm,-,Nissan,Pulsar,ST,B17,36,"100,000",12,"10,000",,
2018,2018 Mitsubishi Outlander ES 7 Seat (awd) ZL MY19,"81,155km",Dealer: Used,"$28,999",Continuous Variable,"SUV, 4 Doors, 7 Seats",All Wheel Drive,"4 cyl, 2.4 L",Unleaded Petrol,7.20 L / 100 km,Grey / -,1HWX188,18 Aug 2023,JMFXTGF8WKJ001912,409022,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,John Hughes Commercials,"234 Albany Highway, Victoria Park, WA",7,4,225/55 R18,7x18,225/55 R18,7x18,,2360,4,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Disc - Ventilated,Disc,60.00,16,220 @ 4200 RPM,124 @ 6000 RPM,166.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1680mm x 1800mm x 4655mm,215 mm,2670 mm,1500 kg,10.60 m,1540 mm,1540 mm,-,Mitsubishi,Outlander,ES 7 Seat (awd),ZL MY19,60,"100,000",12,"15,000",,
2022,2022 Mazda BT-50 XS (4X2) B19C,"5,713km",Dealer: Used,"$38,999",Automatic,"Ute Tray, 2 Doors, 2 Seats",4x2,"4 cyl, 1.9 L",Diesel,7.00 L / 100 km,White / -,1HPX017,30 Aug 2023,MP2TFR87JNT001346,417501,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",2,2,255/65 R17,7Jx17,255/65 R17,7Jx17,,1898,4,Anti Roll Bar;Coil Spring;Independent Double Wishbone,Leaf Spring - Heavy Duty;Rigid Axle,Disc - Ventilated,Drum,76.00,16,350 @ 1800 RPM,110 @ 3600 RPM,184.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1790mm x 1870mm x 5320mm,235 mm,3125 mm,1620 kg,12.50 m,1570 mm,1570 mm,-,Mazda,BT-50,XS (4X2),B19C,60,"999,000",12,"15,000",,
2012,2012 Ford Territory TX (rwd) SZ,"223,046km",Dealer: Used,"$10,990",Automatic,"SUV, 4 Doors, 5 Seats",Rear Wheel Drive,"6 cyl, 2.7 L",Diesel,8.20 L / 100 km,Silver / -,1HKD086,19 May 2023,6FPAAAJGATCC75776,104,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Auto Dominus,"8 Parkland Road, Osborne Park, WA",5,4,235/60 R17,7.5x17,235/60 R17,7.5x17,,2720,6,Anti Roll Bar;Coil Spring;Control Arm;Gas Damper,Anti Roll Bar;Coil Spring;Control Blade;Gas Damper,Disc - Ventilated,Disc - Ventilated,75.00,24,440 @ 1900 RPM,140 @ 4000 RPM,217.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1716mm x 1898mm x 4883mm,175 mm,2843 mm,2021 kg,11.40 m,1597 mm,1626 mm,-,Ford,Territory,TX (rwd),SZ,36,"100,000",12,"15,000",,
2016,2016 Nissan X-Trail ST-L (fwd) T32,"77,343km",Dealer: Used,"$24,688",Continuous Variable,"SUV, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 2.5 L",Unleaded Petrol,7.90 L / 100 km,White / Black,MH3765A,01 Nov 2023,JN1TBAT32A0012752,22001146,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,CarPlace,"7 Sobek Pass, Bibra Lake, WA",5,4,225/65 R17,7x17,225/65 R17,7x17,,2488,4,Anti Roll Bar;Coil Spring;Gas Damper;MacPherson Strut,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System,Disc - Ventilated,Disc - Ventilated,60.00,16,226 @ 4400 RPM,126 @ 6000 RPM,183.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1710mm x 1820mm x 4640mm,210 mm,2705 mm,1470 kg,11.30 m,1575 mm,1575 mm,-,Nissan,X-Trail,ST-L (fwd),T32,36,"100,000",12,"10,000",,
2018,2018 Kia Picanto S (aeb) JA MY18,"25,986km",Dealer: Used,"$17,999",Manual,"HATCH, 5 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 1.2 L",Unleaded Petrol,5.00 L / 100 km,White / -,1HUX203,07 Aug 2023,KNAB2512LJT283502,410634,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,John Hughes Passenger,"196 Albany Highway, Victoria Park, WA",5,5,175/65 R14,5.0Jx14,175/65 R14,5.0Jx14,,1248,4,MacPherson Strut,Torsion Beam Axle,Disc - Ventilated,Disc,35.00,16,122 @ 4000 RPM,62 @ 6000 RPM,117.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1485mm x 1595mm x 3595mm,141 mm,2400 mm,976 kg,9.60 m,1418 mm,1415 mm,-,Kia,Picanto,S (aeb),JA MY18,84,"999,000",12,"15,000",,
